slug,nombre,categoria,precio_eur,descripcion,campos_credenciales_json,plantilla_onboarding_id,stripe_price_id,activo,orden
notion,Notion,gestor_tareas,0,"Integrado de fábrica · 0h setup","[{""key"":""notion_token"",""label"":""Internal Integration Token"",""type"":""password"",""required"":true},{""key"":""database_id"",""label"":""Database ID Tareas"",""type"":""text"",""required"":true}]",,,true,1
clickup,ClickUp,gestor_tareas,119,"~2,5h setup · MCP oficial","[{""key"":""api_token"",""label"":""Personal API Token (pk_*)"",""type"":""password"",""required"":true},{""key"":""workspace_id"",""label"":""Workspace ID"",""type"":""text"",""required"":true},{""key"":""sync_lists"",""label"":""Lists a sincronizar (separadas por coma)"",""type"":""text"",""required"":true}]",,,true,2
asana,Asana,gestor_tareas,97,"~2h setup · trigger nativo","[{""key"":""personal_access_token"",""label"":""Personal Access Token"",""type"":""password"",""required"":true},{""key"":""workspace_id"",""label"":""Workspace ID"",""type"":""text"",""required"":true}]",,,true,3
trello,Trello,gestor_tareas,97,"~2h setup · trigger nativo","[{""key"":""api_key"",""label"":""API Key"",""type"":""text"",""required"":true},{""key"":""api_token"",""label"":""API Token"",""type"":""password"",""required"":true},{""key"":""board_id"",""label"":""Board ID a sincronizar"",""type"":""text"",""required"":true}]",,,true,4
google_sheets,Google Sheets,gestor_tareas,97,"~2h setup · OAuth Google","[{""key"":""sheet_id"",""label"":""Spreadsheet ID"",""type"":""text"",""required"":true},{""key"":""tab_name"",""label"":""Nombre de la pestaña"",""type"":""text"",""required"":true}]",,,true,5
jira,Jira,gestor_tareas,119,"~2,5h setup · MCP Atlassian","[{""key"":""email"",""label"":""Email Atlassian"",""type"":""text"",""required"":true},{""key"":""api_token"",""label"":""API Token"",""type"":""password"",""required"":true},{""key"":""site_url"",""label"":""URL de tu Jira (ej: tu-empresa.atlassian.net)"",""type"":""text"",""required"":true},{""key"":""project_key"",""label"":""Project Key"",""type"":""text"",""required"":true}]",,,true,6
monday,Monday.com,gestor_tareas,169,"~3,5h setup · sin trigger","[{""key"":""api_token"",""label"":""API Token v2"",""type"":""password"",""required"":true},{""key"":""board_id"",""label"":""Board ID"",""type"":""text"",""required"":true}]",,,true,7
holded,Holded,erp,0,"Integrado de fábrica · 0h setup","[{""key"":""api_key"",""label"":""API Key Holded"",""type"":""password"",""required"":true}]",,,true,10
quickbooks,QuickBooks Online,erp,147,"~3h setup · sin trigger","[{""key"":""client_id"",""label"":""OAuth Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""OAuth Client Secret"",""type"":""password"",""required"":true},{""key"":""realm_id"",""label"":""Company ID (Realm ID)"",""type"":""text"",""required"":true}]",,,true,11
xero,Xero,erp,147,"~3h setup · sin trigger","[{""key"":""client_id"",""label"":""OAuth Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""OAuth Client Secret"",""type"":""password"",""required"":true},{""key"":""tenant_id"",""label"":""Tenant ID"",""type"":""text"",""required"":true}]",,,true,12
